gene_name,TCGA-LIHC(Asian)(158)
ATG2B,0.037974684
DOCK10,0.037974684
CNTN3,0.037974684
CDH18,0.037974684
DSCAML1,0.037974684
GRIA1,0.037974684
TSC2,0.037974684
IGHG1,0.037974684
SLC9C1,0.037974684
PTGER3,0.037974684
CDC14C,0.037974684
ZNF831,0.037974684
GABRG1,0.037974684
PSTPIP1,0.03164557
ASTN1,0.03164557
CATSPER1,0.03164557
UMODL1,0.03164557
SUPT20H,0.03164557
PLXNB1,0.03164557
OR8H2,0.03164557
COL7A1,0.03164557
KCNA5,0.03164557
CELSR3,0.03164557
HPN,0.03164557
CYLC1,0.03164557
PDGFRA,0.03164557
ITIH5,0.03164557
LHCGR,0.03164557
KIAA1324L,0.03164557
LAMB2,0.03164557
SCN10A,0.03164557
TMPRSS15,0.03164557
ZNF681,0.03164557
ZNF91,0.03164557
SPRY3,0.03164557
GLI3,0.03164557
CDH11,0.03164557
NCOR2,0.03164557
CCDC8,0.03164557
ZNF99,0.03164557
DNAH11,0.03164557
ZNF98,0.03164557
SPTBN4,0.03164557
SACS,0.03164557
TPTE,0.03164557
KCP,0.03164557
DCHS2,0.03164557
ANK2,0.03164557
ALPK1,0.03164557
EGF,0.03164557
GABRG2,0.03164557
CENPE,0.03164557
TNN,0.03164557
MEGF8,0.03164557
KIAA1217,0.03164557
ZNF248,0.03164557
OLIG2,0.03164557
WDFY3,0.03164557
FGA,0.03164557
NXF3,0.03164557
CSMD2,0.03164557
MTUS2,0.03164557
MYOM1,0.03164557
CEP350,0.03164557
KMT2E,0.03164557
NOTCH2,0.03164557
PLXDC2,0.03164557
CACNA1C,0.03164557
IGSF3,0.03164557
ADAMTS7,0.03164557
SND1,0.03164557
ATP12A,0.03164557
GPR158,0.03164557
SCP2,0.03164557
GABRA6,0.03164557
ITGB2,0.03164557
NLGN1,0.03164557
CNTLN,0.03164557
WNK2,0.03164557
SMARCA2,0.03164557
KANK1,0.03164557
TRIM42,0.03164557
CR2,0.03164557
ELMOD1,0.03164557
HYDIN,0.03164557
EXO1,0.03164557
SOCS6,0.03164557
HFM1,0.03164557
SEMA6D,0.03164557
MROH5,0.03164557
DENND3,0.03164557
AHCTF1,0.03164557
SLC30A1,0.03164557
C3,0.03164557
COL6A5,0.03164557
ITGB5,0.03164557
RAB3GAP2,0.03164557
ABCA4,0.03164557
TRPM6,0.03164557
KMT2A,0.03164557
TRPM3,0.03164557
PTPN14,0.03164557
DNAH14,0.03164557
TAF1L,0.03164557
RFX7,0.03164557
APC2,0.03164557
SPATA31C1,0.03164557
UBAP2,0.03164557
RASSF9,0.03164557
DZIP3,0.03164557
EPHA3,0.03164557
CCDC39,0.03164557
TMEM132E,0.03164557
CELSR2,0.03164557
EIF2AK4,0.03164557
OTOF,0.03164557
IGDCC4,0.03164557
MICAL3,0.03164557
PTPRC,0.03164557
NOTCH1,0.03164557
KIAA1210,0.03164557
CC2D2A,0.03164557
PABPC1L2B,0.03164557
EP300,0.03164557
SLIT2,0.03164557
DENND4A,0.03164557
ERBB3,0.03164557
CACNA1B,0.03164557
KCNH2,0.03164557
JAKMIP1,0.03164557
DNAH1,0.03164557
BAP1,0.03164557
FLNB,0.03164557
VPS13B,0.03164557
SMARCA4,0.03164557
ZBTB43,0.03164557
FUT4,0.03164557
CDH1,0.03164557
TPO,0.03164557
HERC1,0.03164557
CPA6,0.03164557
RUNX1T1,0.03164557
MMP16,0.03164557
IMPA1,0.03164557
PDE6B,0.03164557
SLCO5A1,0.03164557
STK32B,0.03164557
ASPM,0.03164557
PARD3,0.03164557
PTPRT,0.03164557
PTEN,0.03164557
TRPM8,0.03164557
UNC79,0.03164557
AXIN2,0.03164557
NLRP2,0.03164557
SLC12A2,0.03164557
USP40,0.03164557
GIGYF2,0.03164557
TDRD1,0.03164557
ITPR3,0.03164557
SYNGAP1,0.03164557
INTS3,0.03164557
NEUROG1,0.03164557
COL11A2,0.03164557
KCNH6,0.03164557
NOTCH4,0.03164557
COBLL1,0.03164557
CUL9,0.03164557
LILRB5,0.03164557
CYP2C8,0.03164557
BIRC8,0.03164557
TEP1,0.03164557
ITGA2,0.03164557
THSD7B,0.03164557
ITPR1,0.03164557
ZEB2,0.03164557
MBD5,0.03164557
MUC19,0.03164557
COL19A1,0.03164557
MARVELD2,0.03164557
ZNF451,0.03164557
MAP1B,0.03164557
HEXIM1,0.03164557
CRHR1,0.03164557
EML5,0.03164557
NFE2L2,0.03164557
ATRNL1,0.03164557
GON4L,0.03164557
PCDHB10,0.03164557
KNDC1,0.03164557
ADGRA2,0.03164557
KCNH5,0.03164557
SYNE2,0.03164557
PCDHB12,0.03164557
PLEKHG3,0.03164557
PCDHB7,0.03164557
ASH1L,0.03164557
RANBP17,0.03164557
CPS1,0.03164557
ARAP3,0.03164557
CXCR2P1,0.03164557
KLHDC7A,0.03164557
PCDHB8,0.03164557
FLT4,0.03164557
RBFOX1,0.03164557
LRRIQ3,0.03164557
ZNF135,0.03164557
NPAS3,0.03164557
UBAP2L,0.03164557
RALGAPA1,0.03164557
ANKHD1-EIF4EBP3,0.03164557
OR51E1,0.03164557
SIGLEC1,0.03164557
MED14,0.03164557
FANCM,0.03164557
NANOS1,0.03164557
IQGAP3,0.03164557
DNER,0.03164557
SF3B1,0.03164557
NIN,0.03164557
MDN1,0.03164557
MAGI2,0.03164557
MCTP2,0.03164557
ALOX12B,0.03164557
CARD11,0.03164557
DHX8,0.03164557
CDH23,0.03164557
DSE,0.03164557
CHST10,0.03164557
COL4A2,0.03164557
DUSP27,0.03164557
GJA1,0.03164557
MAP3K4,0.03164557
TRDN,0.03164557
FBXL7,0.03164557
IGF2R,0.03164557
SHANK1,0.03164557
NLGN4X,0.03164557
ADAMTS12,0.03164557
NPR3,0.03164557
ARID1B,0.03164557
ALDH16A1,0.03164557
DIO3,0.03164557
LATS1,0.03164557
SOWAHC,0.03164557
NTRK3,0.03164557
T,0.03164557
ANK3,0.03164557
POU3F2,0.03164557
RICTOR,0.03164557
METTL13,0.03164557
ZNF28,0.03164557
FER1L5,0.03164557
HRNR,0.03164557
ZNF702P,0.03164557
GRID1,0.03164557
SLC9C2,0.03164557
ERICH3,0.025316456
ZNF687,0.025316456
ABCA1,0.025316456
ZCCHC2,0.025316456
SVEP1,0.025316456
PTPN3,0.025316456
ZNF462,0.025316456
GRIK4,0.025316456
CENPF,0.025316456
WT1,0.025316456
INSRR,0.025316456
CEP126,0.025316456
TRPC6,0.025316456
THBS3,0.025316456
TNR,0.025316456
RASAL2,0.025316456
TANC2,0.025316456
ELP4,0.025316456
FAM205BP,0.025316456
RUSC1,0.025316456
C9orf47,0.025316456
COL1A1,0.025316456
LPO,0.025316456
OR5D14,0.025316456
CGN,0.025316456
CD44,0.025316456
PALMD,0.025316456
LRRC45,0.025316456
TRIM51,0.025316456
REEP6,0.025316456
ADGRA1,0.025316456
FAM134C,0.025316456
DCST1,0.025316456
GDF2,0.025316456
ABCC3,0.025316456
RCOR3,0.025316456
SERTAD4,0.025316456
KIAA1549L,0.025316456
PGR,0.025316456
DRD2,0.025316456
C11orf87,0.025316456
OLFM3,0.025316456
COL15A1,0.025316456
NTRK2,0.025316456
IL9R,0.025316456
C10orf90,0.025316456
CLTC,0.025316456
DMBT1,0.025316456
RNF213,0.025316456
TMEM132A,0.025316456
SVILP1,0.025316456
EXOC7,0.025316456
TMC6,0.025316456
CKAP5,0.025316456
COPA,0.025316456
ABCA2,0.025316456
GRIN1,0.025316456
SLAMF1,0.025316456
RGS18,0.025316456
SLIT1,0.025316456
IPO7,0.025316456
SBF2,0.025316456
PLA2G4A,0.025316456
KCNJ2,0.025316456
NUMA1,0.025316456
SLFN11,0.025316456
CDK5RAP2,0.025316456
EVPL,0.025316456
KIAA1614,0.025316456
EIF5AL1,0.025316456
SPAG17,0.025316456
RP11-25K21.6,0.025316456
ACACA,0.025316456
KIF19,0.025316456
ITGA2B,0.025316456
MYOF,0.025316456
AMPD1,0.025316456
LAMC2,0.025316456
SYCP1,0.025316456
WAPAL,0.025316456
TET1,0.025316456
SERPINH1,0.025316456
DENND1B,0.025316456
BPTF,0.025316456
CNTN5,0.025316456
SVIL,0.025316456
ZNF365,0.025316456
FCRL1,0.025316456
KRTAP4-11,0.025316456
DHX9,0.025316456
MOCOS,0.025316456
DAGLA,0.025316456
JMJD1C,0.025316456
GRM5,0.025316456
DLG2,0.025316456
MYO18A,0.025316456
SORCS1,0.025316456
CCDC178,0.025316456
CFAP54,0.025316456
OR6P1,0.025316456
RAPGEF1,0.025316456
GH2,0.025316456
ATP8B3,0.025316456
CFAP61,0.025316456
MYO7A,0.025316456
LRRC37A3,0.025316456
KIF21B,0.025316456
KIF14,0.025316456
SMCHD1,0.025316456
ZNF215,0.025316456
PSMD12,0.025316456
ACCS,0.025316456
COL5A3,0.025316456
SPATA31D5P,0.025316456
MCTP1,0.025316456
DLGAP4,0.025316456
KDM3B,0.025316456
KLHL3,0.025316456
TRPC7,0.025316456
TGFBI,0.025316456
CTNNBL1,0.025316456
KIAA1755,0.025316456
DGKD,0.025316456
DMXL1,0.025316456
COL6A3,0.025316456
KCNN2,0.025316456
APC,0.025316456
PJA2,0.025316456
VCAN,0.025316456
TRIP12,0.025316456
SKIV2L2,0.025316456
BRPF1,0.025316456
HCN1,0.025316456
MROH2B,0.025316456
C5orf42,0.025316456
BRIX1,0.025316456
MXRA5,0.025316456
NUP210,0.025316456
MYO10,0.025316456
GRIP2,0.025316456
PHACTR3,0.025316456
SH3BP5,0.025316456
CDH4,0.025316456
CEP250,0.025316456
SPHKAP,0.025316456
LAMA5,0.025316456
TBC1D9B,0.025316456
NLRP5,0.025316456
ZIM3,0.025316456
SLC44A4,0.025316456
PDE11A,0.025316456
POM121L2,0.025316456
SLC4A11,0.025316456
MYO1B,0.025316456
CMAHP,0.025316456
SLC39A10,0.025316456
AOX1,0.025316456
DSP,0.025316456
LAMP5,0.025316456
F13A1,0.025316456
ADAMTS2,0.025316456
PCDHA12,0.025316456
FASTKD2,0.025316456
FAM47A,0.025316456
IDH1,0.025316456
PIKFYVE,0.025316456
CPEB4,0.025316456
TENM2,0.025316456
ATP10B,0.025316456
RNF145,0.025316456
PDE6A,0.025316456
SH3TC2,0.025316456
PCDHGA10,0.025316456
CHPF,0.025316456
MYH7B,0.025316456
IRX1,0.025316456
RFTN1,0.025316456
AP3D1,0.025316456
ROBO2,0.025316456
CRMP1,0.025316456
HTT,0.025316456
WHSC1,0.025316456
ERC2,0.025316456
SLMAP,0.025316456
OPA1,0.025316456
EPHB3,0.025316456
ADAMTS9,0.025316456
VWA5B2,0.025316456
SLC2A2,0.025316456
WDR49,0.025316456
SI,0.025316456
ZNF717,0.025316456
HTR1F,0.025316456
POTEH,0.025316456
MME,0.025316456
AGTR1,0.025316456
ADRBK2,0.025316456
MYO18B,0.025316456
SEZ6L,0.025316456
NCF4,0.025316456
TF,0.025316456
ACPP,0.025316456
MYH15,0.025316456
NF2,0.025316456
KIAA2018,0.025316456
GOLGB1,0.025316456
SLC5A1,0.025316456
TNRC6B,0.025316456
SEL1L3,0.025316456
TRIML1,0.025316456
TCAIM,0.025316456
DIDO1,0.025316456
KCNQ2,0.025316456
SLC4A7,0.025316456
WDR17,0.025316456
ZCWPW2,0.025316456
FSTL5,0.025316456
GUCY1A3,0.025316456
SCN11A,0.025316456
NKTR,0.025316456
CCDC13,0.025316456
APP,0.025316456
PRDM5,0.025316456
GRIK1,0.025316456
CDCP1,0.025316456
PCBP3,0.025316456
SIM2,0.025316456
DYRK1A,0.025316456
SHROOM3,0.025316456
BRWD1,0.025316456
DSCAM,0.025316456
BACE2,0.025316456
REST,0.025316456
KDR,0.025316456
QRICH1,0.025316456
FRYL,0.025316456
GRXCR1,0.025316456
MEI1,0.025316456
C22orf46,0.025316456
SLC25A12,0.025316456
GRM4,0.025316456
GAD1,0.025316456
SOS1,0.025316456
KAT6A,0.025316456
NOTCH3,0.025316456
ASH2L,0.025316456
DPYSL5,0.025316456
6-Sep,0.025316456
SLC35E1,0.025316456
SPAST,0.025316456
CILP2,0.025316456
DPP6,0.025316456
ATP13A1,0.025316456
KMT2C,0.025316456
DHX57,0.025316456
ARHGEF33,0.025316456
ZNF253,0.025316456
MYBL1,0.025316456
PLEKHH2,0.025316456
ARHGEF5,0.025316456
TRPV5,0.025316456
FSHR,0.025316456
SPTBN1,0.025316456
KIAA1549,0.025316456
CHRM2,0.025316456
CNOT4,0.025316456
DMKN,0.025316456
AFTPH,0.025316456
GRM8,0.025316456
CADPS2,0.025316456
FOXP2,0.025316456
TENM1,0.025316456
NBAS,0.025316456
BRSK1,0.025316456
EDARADD,0.025316456
MIA3,0.025316456
NFIC,0.025316456
CNTNAP3,0.025316456
EEF2,0.025316456
CREB3L3,0.025316456
CDC42BPA,0.025316456
MAGEC3,0.025316456
TMEM215,0.025316456
DENND4C,0.025316456
DISC1,0.025316456
KIAA2026,0.025316456
PCNXL2,0.025316456
LYST,0.025316456
ZNF7,0.025316456
SLC26A7,0.025316456
CHRM3,0.025316456
CEP170,0.025316456
SDCCAG8,0.025316456
SCRIB,0.025316456
OR2G2,0.025316456
TRIM58,0.025316456
FAM83A,0.025316456
NOV,0.025316456
OXR1,0.025316456
LRP12,0.025316456
INTS8,0.025316456
SNTG2,0.025316456
PDP1,0.025316456
ZFP82,0.025316456
RELN,0.025316456
ZNF585B,0.025316456
ACVR2A,0.025316456
EPB41L5,0.025316456
HAS1,0.025316456
CNTNAP5,0.025316456
WDR33,0.025316456
ITIH6,0.025316456
AIM1,0.025316456
RAB6C,0.025316456
CCNC,0.025316456
GPR63,0.025316456
ZNF347,0.025316456
SNAP91,0.025316456
DOPEY1,0.025316456
PHIP,0.025316456
KIF5C,0.025316456
PMPCB,0.025316456
KIAA1586,0.025316456
TINAG,0.025316456
PPP1R3F,0.025316456
PTCHD4,0.025316456
TANC1,0.025316456
PLA2R1,0.025316456
TTBK1,0.025316456
PPP2R5D,0.025316456
SCN2A,0.025316456
STK39,0.025316456
LRP2,0.025316456
DAAM2,0.025316456
PTPRH,0.025316456
TBC1D32,0.025316456
PTPRK,0.025316456
BCLAF1,0.025316456
ANAPC1,0.025316456
NXF4,0.025316456
ARMCX1,0.025316456
COL1A2,0.025316456
AKAP9,0.025316456
ABCB1,0.025316456
SEMA3E,0.025316456
TECTA,0.025316456
PHTF2,0.025316456
PTPN12,0.025316456
MLXIPL,0.025316456
POM121,0.025316456
POLR1A,0.025316456
PCDH11X,0.025316456
HECW1,0.025316456
ATP7A,0.025316456
NPSR1,0.025316456
KIAA2022,0.025316456
COL28A1,0.025316456
NHSL2,0.025316456
VWA3B,0.025316456
TEX11,0.025316456
C6orf120,0.025316456
DGAT2L6,0.025316456
FNDC1,0.025316456
SH3RF3,0.025316456
SASH1,0.025316456
UTRN,0.025316456
MYO15A,0.025316456
ARHGAP31,0.025316456
LRIG3,0.025316456
UBR4,0.025316456
A2M,0.025316456
KLHL1,0.025316456
B4GALNT3,0.025316456
TJP1,0.025316456
APBA2,0.025316456
SRRM2,0.025316456
GABRA5,0.025316456
HCN4,0.025316456
MAGEL2,0.025316456
CLCA1,0.025316456
ZFP36L1,0.025316456
MED13L,0.025316456
PCDH8,0.025316456
